size,noise,conserved.idf,conserved.idf2,er1.idf,er2.idf,er1.idf2,er2.idf2
225,0,100.00,100.00,0.00,0.00,0.00,0.00
450,0,100.00,100.00,0.00,0.00,0.00,0.00
900,0,100.00,100.00,0.00,0.00,0.00,0.00
1800,0,100.00,100.00,0.00,0.00,0.00,0.00
4500,0,100.00,100.00,0.00,0.00,0.00,0.00
9000,0,100.00,100.00,0.00,0.00,0.00,0.00
225,10,88.27,90.67,2.71,2.98,0.31,2.98
450,10,89.91,91.31,1.62,1.33,0.22,1.33
900,10,87.43,87.92,0.51,0.34,0.02,0.34
1800,10,89.42,89.56,0.14,0.01,0.01,0.01
4500,10,89.63,89.66,0.03,0.00,0.00,0.00
9000,10,89.76,89.76,0.00,0.00,0.00,0.00
225,20,81.69,84.22,3.29,4.98,0.76,4.98
450,20,79.07,81.02,2.51,2.18,0.60,2.22
900,20,78.39,79.26,1.36,1.04,0.49,1.04
1800,20,79.33,79.63,0.37,0.11,0.12,0.15
4500,20,79.90,79.96,0.07,0.03,0.03,0.06
9000,20,79.95,79.96,0.01,0.00,0.00,0.00
225,30,69.24,75.73,8.84,8.89,2.40,8.93
450,30,66.62,71.38,7.00,6.22,2.62,6.60
900,30,66.23,69.56,5.61,4.64,2.81,5.17
1800,30,69.63,70.52,1.33,0.96,0.45,0.97
4500,30,70.08,70.44,1.07,1.03,0.75,1.07
9000,30,69.64,69.71,0.10,0.05,0.04,0.05
225,40,66.13,73.56,10.71,16.84,4.62,18.18
450,40,59.80,66.64,12.69,12.29,7.31,13.76
900,40,61.99,65.31,8.93,10.72,6.34,11.46
1800,40,60.22,62.40,6.77,7.58,5.03,8.03
4500,40,57.97,59.81,6.68,5.63,5.17,5.96
9000,40,59.36,59.71,1.62,1.46,1.32,1.50
