test & size & J48_10 & IDF_10 & IDF2_10 & J48_20 & IDF_20 & IDF2_20 & J48_30 & IDF_30 & IDF2_30 & J48_40 & IDF_40 & IDF2_40
Clean & 225 & 100 & 100 & 100 & 100 & 100 & 100 & 99.37 & 97.12 & 97.12 & 87.21 & 91.06 & 91.75
Clean & 450 & 100 & 100 & 100 & 100 & 97.2 & 97.2 & 100 & 92.67 & 92.67 & 92.34 & 77.71 & 76.78
Clean & 900 & 100 & 100 & 100 & 100 & 98.95 & 98.95 & 99.42 & 90.77 & 90.58 & 88.39 & 76.91 & 76.52
Clean & 1800 & 99.9 & 99.75 & 99.75 & 99.96 & 99.84 & 99.84 & 99.9 & 99.09 & 99.09 & 94.76 & 87.21 & 87.23
Clean & 4500 & 99.96 & 99.98 & 99.98 & 99.97 & 99.93 & 99.93 & 99.93 & 98.42 & 98.42 & 99.99 & 90.4 & 90.38
Clean & 9000 & 99.9 & 99.98 & 99.98 & 99.99 & 99.99 & 99.99 & 100 & 99.96 & 99.96 & 99.94 & 97.25 & 97.24
Noisy & 225 & 88.89 & 86.18 & 86.18 & 78.45 & 78.45 & 79.05 & 68.5 & 67.24 & 67.24 & 57.89 & 56.51 & 57.61
Noisy & 450 & 91.22 & 88.91 & 88.91 & 80.82 & 78.67 & 78.67 & 68.71 & 62.38 & 62.46 & 56.18 & 54.86 & 53.52
Noisy & 900 & 87.78 & 87.17 & 87.17 & 78.25 & 77.88 & 77.87 & 68.92 & 62.58 & 62.5 & 57.41 & 58.4 & 58.63
Noisy & 1800 & 88.45 & 88.94 & 88.94 & 79.63 & 79.27 & 79.27 & 68.88 & 68.55 & 68.55 & 57.2 & 57.51 & 57.64
Noisy & 4500 & 89.19 & 89.31 & 89.31 & 79.81 & 79.48 & 79.48 & 70.05 & 69.27 & 69.26 & 58.74 & 57.1 & 56.96
Noisy & 9000 & 89.04 & 89.43 & 89.43 & 79.76 & 79.68 & 79.68 & 68.9 & 69.22 & 69.22 & 58.99 & 58.73 & 58.71
